155.485	-4.13
155.876	-3.72
156.266	-3.61
156.656	-3.65
157.046	-3.91
157.436	-3.81
157.826	-3.7
158.216	-3.26
158.606	-3.41
158.996	-3.32
159.386	-3.24
159.776	-2.98
160.166	-3.12
160.556	-3.23
160.945	-3.44
161.335	-3.48
161.725	-3.85
162.114	-3.23
162.504	-3.33
162.894	-3.36
163.283	-3.53
163.673	-3.71
164.062	-3.55
164.452	-3.48
164.841	-3.35
165.23	-3.21
165.62	-3.16
166.009	-3.17
166.398	-3.34
166.787	-3.35
167.177	-3.57
167.566	-3.28
167.955	-3.2
168.344	-3.2
168.733	-2.98
169.122	-2.98
169.511	-2.56
169.9	-2.85
170.289	-3.26
170.678	-3.39
171.066	-3.75
171.455	-4.03
171.844	-3.89
172.233	-3.46
172.621	-3.61
173.01	-4.1
173.398	-4.52
173.787	-4.25
174.176	-4.39
174.564	-4.26
174.952	-3.98
175.341	-4.33
175.729	-4.89
176.118	-5.52
176.506	-6.15
176.894	-5.52
177.282	-5.31
177.671	-5.51
178.059	-4.95
178.447	-4.39
178.835	-4.54
179.223	-4.7
179.611	-4.85
179.999	-5.13
180.387	-4.77
180.775	-4.21
181.163	-4.41
181.55	-4.41
181.938	-4.69
182.326	-4.41
182.714	-3.85
183.101	-3.64
183.489	-3.84
183.876	-3.69
184.264	-3.34
184.652	-2.77
185.039	-2.75
185.427	-2.41
185.814	-2.69
186.201	-2.98
186.589	-3.03
186.976	-2.69
187.363	-2.9
187.75	-2.56
188.138	-2.26
188.525	-1.9
188.912	-1.62
189.299	-1.2
189.686	-1.07
190.073	-0.36
190.46	-0.3
190.847	0.11
191.234	0.25
191.621	0.38
192.007	0.46
192.394	0.74
192.781	0.66
193.168	0.31
193.554	0.31
193.941	0.95
194.328	1.51
194.714	1.79
195.101	2.69
195.487	2.61
195.874	2.39
196.26	2.67
196.646	2.54
197.033	3.31
197.419	3.16
197.805	3.38
198.191	4.07
198.578	3.85
198.964	4.28
199.35	4.84
199.736	5.26
200.122	5.75
200.508	5.41
200.894	5.56
201.28	6.54
201.666	6.56
202.052	6.77
202.437	7.41
202.823	7.49
203.209	7.64
203.595	8.61
203.98	8.8
204.366	8.46
204.751	8.72
205.137	9
205.522	9.07
