277.78,-0.49
278.154,-0.92
278.528,-0.36
278.901,-0.43
279.275,-0.21
279.648,-0.57
280.022,-0.52
280.395,-0.67
280.769,-0.82
281.142,-1.15
281.515,-1.23
281.889,-1.08
282.262,-1
282.635,-1.13
283.008,-1.21
283.382,-1
283.755,-0.77
284.128,-1.13
284.501,-1.21
284.874,-0.59
285.247,-0.93
285.62,-0.8
285.993,-0.38
286.366,-0.59
286.739,-0.67
287.112,-0.74
287.485,-0.25
287.857,-0.1
288.23,0.2
288.603,-0.08
288.975,-0.08
289.348,0.2
289.721,-0.43
290.093,-0.34
290.466,0.13
290.838,-0.36
291.211,-0.02
291.583,0.25
291.956,0.31
292.328,-0.52
292.701,-0.87
293.073,-1.02
293.445,-0.89
293.817,-1.66
294.19,-1.72
294.562,-2
294.934,-1.92
295.306,-1.77
295.678,-2.61
296.05,-2.52
296.422,-2.61
296.794,-2.39
297.166,-1.69
297.538,-1.77
297.91,-1.8
298.282,-1.72
298.654,-1.23
299.025,-1.57
299.397,-2
299.769,-2.69
300.14,-3.31
300.512,-3.03
300.884,-2.9
301.255,-3.59
301.627,-3.74
301.998,-3.87
302.37,-3.79
302.741,-4.07
303.112,-3.43
303.484,-3.84
303.855,-3.36
304.226,-3.62
304.598,-3.98
304.969,-4.11
305.34,-3.48
305.711,-3.2
306.082,-3.67
306.453,-2.98
306.825,-2.62
307.196,-3.25
307.566,-3.25
307.937,-3.25
308.308,-3.03
308.679,-3.33
309.05,-3.38
309.421,-3.3
309.792,-3.02
310.162,-2.89
310.533,-2.67
310.904,-2.62
311.274,-2.36
311.645,-1.72
312.015,-1.72
312.386,-1.44
312.757,-1.39
313.127,-1.87
313.497,-1.44
313.868,-1.38
314.238,-1.31
314.608,-1.38
314.979,-0.13
315.349,0
315.719,-0.56
316.089,-0.49
316.459,0.28
316.83,-0.07
317.2,0.16
317.57,0
317.94,-0.62
318.31,0.21
318.68,0.28
319.049,-0.07
319.419,-0.05
319.789,-0.2
320.159,0.3
320.529,0.16
320.898,0.38
321.268,0.66
321.638,0.23
322.007,0.36
322.377,0.84
322.746,0.9
323.116,0.34
323.485,0.28
323.855,0.64
324.224,1.34
324.594,1.62
324.963,1.48
325.332,1.34
325.701,1
326.071,1.9
326.44,2.05
326.809,2.05
327.178,2.33
327.547,2.26
327.916,2.11
328.285,2.18
328.654,2.44
329.023,2.02
329.392,1.66
329.761,1.79
330.13,1.85
330.498,1.92
330.867,1.36
331.236,1.79
331.604,1.98
331.973,2.2
332.342,1.9
332.71,1.7
333.079,1.49
333.447,1.08
333.816,1.03
334.184,0.05
334.553,0.05
334.921,0.46
335.289,0.69
335.657,0.56
336.026,-0.28
336.394,-0.56
336.762,-0.9
337.13,-0.75
337.498,-1.08
337.866,-1.15
338.234,-1.3
338.602,-1.98
338.97,-2.05
339.338,-2.07
339.706,-2.49
340.074,-1.98
340.442,-1.85
340.81,-2.48
341.177,-2.62
341.545,-2.2
341.913,-2.34
342.28,-2.2
342.648,-2.75
343.015,-2.41
343.383,-2.07
343.75,-2.13
344.118,-1.49
344.485,-1.43
344.852,-1.15
345.22,-1.23
345.587,-0.74
345.954,-0.8
346.322,-0.61
346.689,-0.74
347.056,-0.52
347.423,-0.31
347.79,-0.25
348.157,0.11
348.524,0.05
348.891,-0.25
349.258,0.08
349.625,-0.26
349.992,-0.34
350.358,-0.9
350.725,-0.77
351.092,-1.59
351.459,-2.07
351.825,-1.92
352.192,-2.05
352.559,-2.39
352.925,-2.89
353.292,-2.95
353.658,-3.16
354.024,-3.25
354.391,-3.8
354.757,-3.8
355.124,-3.52
355.49,-3.67
355.856,-3.18
356.222,-2.98
356.588,-2.7
356.955,-2.56
357.321,-2.54
357.687,-3.05
358.053,-2.36
358.419,-1.66
358.785,-1.52
359.151,-1.39
359.516,-1.89
359.882,-1.97
360.248,-1.82
360.614,-1.39
360.98,-1.07
361.345,-1.08
361.711,-0.85
362.076,-1
362.442,-1.49
362.808,-0.87
363.173,-0.52
363.539,-0.02
363.904,-0.36
364.269,-0.7
364.635,-1.33
365,-1.69
365.365,-1.75
365.73,-2.26
366.096,-2.89
366.461,-3.25
366.826,-3.74
367.191,-4.57
367.556,-4.57
367.921,-4.36
368.286,-4.49
368.651,-3.92
369.016,-4.07
369.381,-4.84
369.745,-4.97
370.11,-4.97
370.475,-5.34
370.84,-5.56
371.204,-5.07
371.569,-5.61
371.933,-5.61
372.298,-5.89
372.662,-5.48
373.027,-5.11
373.391,-4.92
373.756,-4.92
374.12,-4.85
374.484,-4.21
374.849,-3.51
375.213,-3.3
375.577,-2.89
375.941,-3.7
376.305,-3.77
376.669,-3.43
377.033,-3.62
377.397,-4.2
377.761,-4.13
378.125,-4.77
378.489,-4.77
378.853,-4.49
379.217,-4.9
379.581,-5.11
379.944,-4.75
380.308,-4.75
380.672,-4.9
381.035,-5.03
381.399,-5.02
381.762,-4.59
382.126,-4.57
382.489,-4.85
382.853,-4.66
383.216,-4.36
383.579,-4.64
383.943,-5.57
384.306,-5.51
384.669,-5.31
385.032,-5.93
385.396,-6.34
385.759,-7.34
386.122,-7.3
386.485,-6.82
386.848,-6.84
387.211,-6.28
387.574,-6.61
387.936,-6.52
388.299,-5.77
388.662,-5.69
389.025,-5.48
389.387,-5.26
389.75,-5.59
390.113,-5.61
390.475,-5.26
390.838,-6.03
391.2,-6.03
391.563,-6.03
391.925,-6.18
392.288,-5.97
392.65,-5.82
393.012,-5.95
393.375,-6.28
393.737,-5.44
394.099,-5.38
394.461,-5.72
394.823,-5.51
395.185,-5.77
395.547,-5.21
395.909,-4.72
396.271,-4.92
396.633,-5.2
396.995,-5.26
397.357,-5.26
397.719,-4.77
398.081,-3.61
398.442,-3.74
398.804,-3.66
399.166,-3.23
399.527,-2.72
399.889,-2.85
400.25,-2.79
400.612,-2.85
400.973,-3.41
401.335,-3.13
401.696,-2.87
402.057,-2.74
402.419,-3.3
402.78,-3.38
403.141,-3.1
403.502,-3.1
403.863,-3.61
404.224,-4.05
404.585,-3.85
404.946,-4.62
405.307,-4.28
405.668,-4.2
406.029,-3.9
406.39,-3.48
406.751,-3.11
407.111,-3.33
407.472,-2.77
407.833,-2.13
408.193,-1.92
